Song,Artist,Overall Sentiment,Polarity,Subjectivity,Valence,Energy,Loudness,Tempo,Danceability
Carnival,¥$,Positive,0.010954545454545455,0.568098484848485,0.311,0.811,-5.746,148.144,0.594
Lose Control,Teddy Swims,Positive,0.04173881673881676,0.4104256854256855,0.242,0.604,-4.409,159.92,0.561
Lovin On Me,Jack Harlow,Negative,-0.04179894179894181,0.42469937469937485,0.606,0.558,-4.911,104.983,0.943
Beautiful Things,Benson Boone,Positive,0.3857142857142857,0.6869047619047618,0.219,0.471,-5.692,105.029,0.472
Texas Hold Em,Beyonce,Negative,-0.06301925025329282,0.460030395136778,0.353,0.709,-6.514,110.024,0.725
Greedy,Tate McRae,Negative,-0.029239766081871347,0.6046783625730994,0.844,0.733,-3.18,111.018,0.75
I Remember Everything,Zach Bryan,Positive,0.0761437908496732,0.6258169934640523,0.155,0.453,-7.746,77.639,0.429
Snooze,SZA,Positive,0.14413265306122441,0.5682397959183675,0.392,0.551,-7.231,143.008,0.559
Agora Hills,Doja Cat,Negative,-0.0324404761904762,0.5095386904761904,0.392,0.674,-6.128,123.026,0.75
Cruel Summer,Taylor Swift,Negative,-0.10499313694435647,0.5592640692640694,0.564,0.702,-5.707,169.994,0.552
Stick Season,Noah Kahan,Positive,0.04111721611721612,0.30265567765567764,0.817,0.488,-6.894,117.913,0.662
Redrum,21 Savage,Positive,0.02099422799422801,0.3271746031746032,0.246,0.74,-8.445,172.089,0.624
Saturn,SZA,Positive,0.0804232804232804,0.557936507936508,0.337,0.619,-6.834,177.937,0.411
Fast Car,Luke Combs,Positive,0.18144886363636367,0.6225000000000002,0.67,0.603,-5.52,97.994,0.712
Last Night,Morgan Wallen,Positive,0.05467436974789916,0.22428221288515401,0.478,0.675,-5.456,203.759,0.492
Is It Over Now? (Taylors Version) [From The Vault],Taylor Swift,Positive,0.04101010101010101,0.4059595959595959,0.176,0.658,-7.346,100.012,0.596
Water,Tyla,Positive,0.1596153846153846,0.48589743589743595,0.519,0.722,-3.495,117.187,0.673
Thinkin Bout Me,Morgan Wallen,Negative,-0.40625,0.5729166666666666,0.429,0.757,-5.775,139.971,0.656
Whatever She Wants,Bryson Tiller,Positive,0.0457142857142857,0.7207142857142856,0.431,0.487,-7.358,96.028,0.82
Made For Me,Muni Long,Positive,0.355,0.7499999999999999,0.0569,0.47,-6.42,120.006,0.785
Flowers,Miley Cyrus,Positive,0.4957142857142857,0.566714285714286,0.632,0.691,-4.775,118.048,0.706
Houdini,Dua Lipa,Positive,0.19369747899159667,0.48781512605042027,0.866,0.789,-4.876,116.985,0.744
End Of Beginning,Djo,Positive,0.1465909090909091,0.2303030303030303,0.912,0.454,-7.643,159.982,0.689
Pretty Little Poison,Warren Zeiders,Positive,0.10289814814814816,0.6552962962962963,0.22,0.567,-4.156,112.011,0.494
Paint The Town Red,Doja Cat,Positive,0.12236570247933885,0.49235537190082646,0.732,0.538,-8.603,99.968,0.868
Where The Wild Things Are,Luke Combs,Negative,-0.04083333333333332,0.4020000000000001,0.379,0.731,-4.872,116.975,0.708
Never Lose Me,Flo Milli,Positive,0.14868742368742371,0.523458485958486,0.0743,0.567,-7.857,121.964,0.781
Feather,Sabrina Carpenter,Positive,0.1472222222222222,0.4296296296296295,0.836,0.686,-4.37,123.51,0.787
Truck Bed,HARDY,Negative,-0.2949197860962567,0.7117647058823531,0.769,0.77,-4.887,132.057,0.662
The Painter,Cody Johnson,Negative,-0.013873106060606051,0.38593750000000004,0.261,0.709,-5.766,97.981,0.512
"Yes, And?",Ariana Grande,Positive,0.24682539682539678,0.6412698412698414,0.823,0.758,-6.513,119.008,0.788
Selfish,Justin Timberlake,Negative,-0.21547619047619046,0.7628571428571429,0.376,0.543,-6.752,88.004,0.69
La Diabla,Xavi,Negative,-0.5,0.3,0.697,0.819,-4.372,131.842,0.751
What Was I Made For?,Billie Eilish,Positive,0.1134920634920635,0.6968253968253969,0.142,0.0911,-17.665,78.403,0.444
Wild Ones,Jessie Murph,Positive,0.04116666666666668,0.43483333333333296,0.294,0.689,-3.543,136.03,0.65
Save Me,Jelly Roll,Negative,-0.12896825396825398,0.4182539682539682,0.146,0.612,-5.018,83.03,0.564
Vampire,Olivia Rodrigo,Negative,-0.0877513227513227,0.6664682539682539,0.35,0.532,-5.745,138.005,0.511
Like What (Freestyle),Cardi B,Negative,-0.0736742424242424,0.5028409090909092,0.708,0.689,-6.662,114.959,0.948
Praise Jah In The Moonlight,YG Marley,Positive,0.22232142857142825,0.35599078341013785,0.418,0.727,-4.028,125.023,0.66
Rich Baby Daddy,Drake,Positive,0.11675685425685427,0.5094742063492064,0.142,0.729,-4.56,146.01,0.645
On My Mama,Victoria Monet,Positive,0.5473326010639443,0.6865079365079366,0.621,0.539,-7.865,153.277,0.481
Exes,Tate McRae,Negative,-0.13541519849659384,0.6488049095607237,0.611,0.575,-6.57,136.962,0.821
Burn It Down,Parker McCollum,Negative,-0.11658163265306122,0.34651360544217696,0.334,0.718,-5.627,162.187,0.461
Man Made A Bar,Morgan Wallen,Positive,0.2630905832518736,0.4817774519387423,0.489,0.764,-5.006,147.984,0.498
Need A Favor,Jelly Roll,Positive,0.016228070175438595,0.8285087719298246,0.557,0.771,-4.246,157.978,0.502
Surround Sound,JID,Negative,-0.08030555555555562,0.511305555555555,0.471,0.56,-7.302,75.956,0.575
Everybody,Nicki Minaj,Negative,-0.049481915933528874,0.5099169110459432,0.388,0.769,-5.546,137.947,0.736
FE!N,Travis Scott,Negative,-0.08168831168831168,0.5538571428571428,0.201,0.882,-2.777,148.038,0.569
Yeah Glo!,GloRilla,Negative,-0.14303701073232322,0.4865404040404041,0.184,0.657,-5.334,148.082,0.896
I Can Feel It,Kane Brown,Negative,-0.06000000000000001,0.32,0.55,0.866,-5.816,116.004,0.529
World On Fire,Nate Smith,Positive,0.07174603174603174,0.37646825396825395,0.411,0.887,-4.871,95.964,0.461
Breathe,Yeat,Negative,-0.19748677248677257,0.5978835978835979,0.106,0.541,-13.0,118.064,0.771
Get In With Me,BossMan Dlow,Negative,-0.08906249999999999,0.340625,0.219,0.649,-5.553,158.9,0.612
You Broke My Heart,Drake,Negative,-0.23700706845238104,0.5878348214285719,0.276,0.7,-5.163,120.854,0.465
One Of The Girls,The Weeknd,Positive,0.2716049382716049,0.584567901234568,0.202,0.641,-6.287,87.51,0.522
Soak City,310babii,Negative,-0.149436454271165,0.51882216497919,0.257,0.694,-6.358,101.919,0.861
23,Chayce Beckham,Negative,-0.025138888888888895,0.4912103174603175,0.428,0.583,-7.346,87.977,0.626
Mamaws House,Thomas Rhett,Negative,-0.215945165945166,0.4716810966810968,0.422,0.704,-7.686,89.985,0.559
Training Season,Dua Lipa,Positive,0.17970238095238097,0.5688690476190476,0.671,0.582,-4.5,123.03,0.815
One Call,Rich Amiri,Negative,-0.05344444444444445,0.5311111111111113,0.253,0.539,-7.281,158.105,0.65
Act II: Date @ 8,4Batz,Positive,0.08749999999999998,0.6041666666666666,0.749,0.417,-13.02,138.811,0.718
La Victima,Xavi,Negative,-0.5,0.3,0.666,0.835,-3.598,140.082,0.778
FTCU,Nicki Minaj,Negative,-0.2795238095238096,0.5652380952380954,0.242,0.458,-6.751,144.995,0.928
Overcompensate,twenty one pilots,Positive,0.13617511520737324,0.4539170506912444,0.331,0.891,-5.563,95.089,0.363
Wildflowers And Wild Horses,Lainey Wilson,Negative,-0.15686274509803919,0.5352941176470589,0.34,0.644,-5.787,117.379,0.442
Tu Name,Fuerza Regida,Positive,0.0,0.0,0.884,0.747,-5.083,128.912,0.76
Murder On The Dancefloor,Sophie Ellis-Bextor,Positive,0.22936507936507933,0.5182539682539685,0.887,0.849,-5.281,117.31,0.73
Spin You Around (1/24),Morgan Wallen,Positive,0.21535714285714286,0.5936904761904762,0.658,0.451,-6.019,141.947,0.615
Scared To Start,Michael Marcagi,Negative,-0.02556517556517557,0.45497354497354503,0.443,0.551,-11.258,148.035,0.527
Burn,¥$,Positive,0.13637152777777775,0.5711805555555555,0.736,0.885,-6.21,105.003,0.6
Sensational,Chris Brown,Positive,0.2604885057471264,0.5844827586206898,0.797,0.609,-7.077,100.008,0.774
Harley Quinn,Fuerza Regida,Negative,-0.75,0.9,0.591,0.741,-6.04,125.031,0.815
Holy Smokes,Bailey Zimmerman,Positive,0.04783333333333333,0.23566666666666664,0.432,0.569,-7.908,95.117,0.462
Doctor (Work It Out),Pharrell,Negative,-0.5,0.3,0.93,0.624,-5.502,120.03,0.841
Bandit,Don Toliver,Positive,0.09166666666666667,0.5979166666666668,0.109,0.615,-9.593,130.031,0.671
Where It Ends,Bailey Zimmerman,Positive,0.033730158730158714,0.3103174603174603,0.648,0.837,-5.067,170.041,0.431
Nee-nah,21 Savage,Negative,-0.13679638328574498,0.4763660925363054,0.318,0.758,-6.524,165.423,0.678
Home,Good Neighbours,Negative,-0.01587301587301585,0.373015873015873,0.134,0.676,-4.44,77.002,0.583
Mmhmm,BigXthaPlug,Positive,0.037794117647058825,0.46563725490196084,0.962,0.682,-8.799,126.003,0.93
Bellakeo,Peso Pluma,Positive,0.0,0.0,0.463,0.88,-2.834,180.011,0.72
Oklahoma Smokeshow,Zach Bryan,Negative,-0.10277777777777775,0.37407407407407406,0.233,0.573,-5.694,122.977,0.544
Coal,Dylan Gossett,Negative,-0.09593253968253967,0.5467261904761904,0.439,0.223,-9.561,97.045,0.522
Perro Negro,Bad Bunny,Positive,0.023333333333333362,0.6933333333333334,0.345,0.778,-2.248,96.057,0.911
My Eyes,Travis Scott,Negative,-0.04551904058001619,0.48716327033400214,0.28,0.621,-7.694,119.043,0.455
Standing Next To You,Jung Kook,Positive,0.037362637362637355,0.1796703296703297,0.816,0.809,-4.389,106.017,0.711
Tucson Too Late,Jordan Davis,Negative,-0.20050505050505052,0.5414141414141412,0.385,0.707,-7.19,105.917,0.661
Igual Que Un Angel,Kali Uchis,Negative,-0.037037037037037056,0.2925925925925926,0.464,0.61,-5.36,107.999,0.685
Forever,Noah Kahan,Positive,0.23585470085470087,0.592991452991453,0.235,0.254,-10.855,94.78,0.395
Contigo,Karol G,Negative,-0.1,0.2,0.268,0.545,-7.826,122.029,0.846
Worth It,Offset,Positive,0.065008658008658,0.46082251082251086,0.555,0.725,-5.065,95.055,0.82
Lets Go,Key Glock,Negative,-0.06126228269085411,0.5495842781557065,0.303,0.526,-7.612,75.505,0.673
Fuk Sumn,¥$,Negative,-0.07833867521367523,0.5804220085470089,0.438,0.818,-2.825,142.084,0.774
Think U The Shit (Fart),Ice Spice,Negative,-0.04851190476190477,0.5705357142857143,0.311,0.545,-6.647,122.101,0.967
Hiss,Megan Thee Stallion,Negative,-0.12409960931087698,0.6065005417118096,0.686,0.663,-5.056,167.137,0.745
Prove It,21 Savage,Positive,0.19742647058823531,0.5303921568627451,0.263,0.743,-5.418,133.897,0.559
We Dont Fight Anymore,Carly Pearce,Negative,-0.19583333333333328,0.5000000000000001,0.419,0.564,-6.517,129.944,0.619
Creek Will Rise,Conner Smith,Positive,0.09268707482993196,0.3954081632653062,0.892,0.887,-2.97,169.975,0.423
16 Carriages,Beyonce,Negative,-0.015104166666666669,0.45260416666666664,0.382,0.453,-7.047,127.246,0.525
Wondering Why,The Red Clay Strays,Positive,0.1909722222222222,0.5637820512820512,0.347,0.209,-12.437,148.59,0.524
Wine Into Whiskey,Tucker Wetmore,Positive,0.12718253968253967,0.5796626984126985,0.318,0.642,-5.406,149.986,0.685
